annotation	target_package	android17_policy	main_process	child_process	child_process_contains	class	source
CommonModPack	common	blocked	true	false		HookTester	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/allApps/HookTester.java
DialerModPack	com.google.android.dialer	manual-scope	true	false		RecordingMessage	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/dialer/RecordingMessage.java
FrameworkModPack	android	blocked	true	false		BrightnessRange	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/android/BrightnessRange.java
FrameworkModPack	android	blocked	true	false		FaceUpScreenSleep	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/android/FaceUpScreenSleep.java
FrameworkModPack	android	blocked	true	false		HotSpotController	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/android/HotSpotController.java
FrameworkModPack	android	blocked	true	false		PackageManager	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/android/PackageManager.java
FrameworkModPack	android	blocked	true	false		PhoneWindowManager	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/android/PhoneWindowManager.java
FrameworkModPack	android	blocked	true	false		ScreenOffKeys	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/android/ScreenOffKeys.java
FrameworkModPack	android	blocked	true	false		ScreenRotation	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/android/ScreenRotation.java
FrameworkModPack	android	blocked	true	false		StatusbarSize	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/android/StatusbarSize.java
FrameworkModPack	android	blocked	true	false		SystemScreenRecord	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/android/SystemScreenRecord.java
FrameworkModPack	android	blocked	true	false		TargetOptimizer	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/android/TargetOptimizer.java
KSUModPack	me.weishu.kernelsu	manual-scope	true	false		KSUInjector	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/ksu/KSUInjector.java
KSUNextModPack	com.rifsxd.ksunext	manual-scope	true	false		KSUInjector	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/ksu/KSUInjector.java
LauncherModPack	com.google.android.apps.nexuslauncher	manual-scope	true	false		ClearAllButtonMod	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/launcher/ClearAllButtonMod.java
LauncherModPack	com.google.android.apps.nexuslauncher	manual-scope	true	false		CustomNavGestures	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/launcher/CustomNavGestures.java
LauncherModPack	com.google.android.apps.nexuslauncher	manual-scope	true	false		HideNavigationBarInsets	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/launcher/HideNavigationBarInsets.java
LauncherModPack	com.google.android.apps.nexuslauncher	manual-scope	true	false		LauncherGestureNavbarManager	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/launcher/LauncherGestureNavbarManager.java
LauncherModPack	com.google.android.apps.nexuslauncher	manual-scope	true	false		LauncherThemedIcons	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/launcher/LauncherThemedIcons.java
LauncherModPack	com.google.android.apps.nexuslauncher	manual-scope	true	false		PixelXpertIconUpdater	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/launcher/PixelXpertIconUpdater.java
LauncherModPack	com.google.android.apps.nexuslauncher	manual-scope	true	false		TaskbarActivator	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/launcher/TaskbarActivator.java
SettingsModPack	com.android.settings	manual-scope	true	false		AppCloneEnabler	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/settings/AppCloneEnabler.java
SettingsModPack	com.android.settings	manual-scope	true	false		IconPacks	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/systemui/IconPacks.java
SettingsModPack	com.android.settings	manual-scope	true	false		PXSettingsLauncher	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/settings/PXSettingsLauncher.java
SystemUIModPack	com.android.systemui	manual-scope	true	false		BatteryDataProvider	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/systemui/BatteryDataProvider.java
SystemUIModPack	com.android.systemui	manual-scope	true	false		BrightnessRange	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/android/BrightnessRange.java
SystemUIModPack	com.android.systemui	manual-scope	true	false		DepthWallpaper	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/systemui/DepthWallpaper.java
SystemUIModPack	com.android.systemui	manual-scope	true	false		EasyUnlock	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/systemui/EasyUnlock.java
SystemUIModPack	com.android.systemui	manual-scope	true	false		FeatureFlagsMods	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/systemui/FeatureFlagsMods.java
SystemUIModPack	com.android.systemui	manual-scope	true	false		FingerprintWhileDozing	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/systemui/FingerprintWhileDozing.java
SystemUIModPack	com.android.systemui	manual-scope	true	false		FlashlightTile	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/systemui/FlashlightTile.java
SystemUIModPack	com.android.systemui	manual-scope	true	false		GestureNavbarManager	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/systemui/GestureNavbarManager.java
SystemUIModPack	com.android.systemui	manual-scope	true	false		IconPacks	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/systemui/IconPacks.java
SystemUIModPack	com.android.systemui	manual-scope	true	false		KSURootReceiver	app/src/main/java/sh/siava/pixelxpert/xposed/modpacks/systemui/KSURootReceiver.java
